"","ServiceAddressStreetNumber","ServiceAddressStreetName","PREMISESALESCLASSDESC","Sales Class","Active/Inactive","SW StatusCode","Status Code","BILLABLEIMPERVIOUSACRES","PARCELSIZE","IMPERVIOUSSIZE","ACCOUNTTAXTYPE","Tax Description","Customer Class","BILLINGCYCLENUMBER","PREMISECYCLENUMBER","Bunch Code","SW Last Billing Date","SW Last Amount Billed","SW Last Paid Date","SW Final Shut Off Date","WA Last Billing Date","WA Last Amount Billed","WA Last Paid Date","WA Final Shut Off Date","WA ActiveCode","WA ActiveCodeDesc","WA StatusCode","WA StatusDescription","WALANDLORDCODE","WAONWERTENANTFLAG","S-Current","S-30-60","S-60+","W-Current","W-30-60","W-60+","T-Current","T-30-60","T-60+","Total","61+ Days >150","61+ Days <150","Zero balance","Meter (Yes/No)","Status Code2","Breakdown","New Sales Class","Address"
"238","10100","DUPREY ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.05,0.1,0.05,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,52.83,4272021,0,5272021,18.14,4272021,0,0,NA,0,NA,0,"O",55.76,61.18,2069.17,19.18,21.66,1007.1,74.94,82.84,3076.27,3234.05,1,0,1,"YES","NORMAL","C $1000+","RESIDENTIAL","10100 DUPREY ST"
"239","10600","PEERLESS ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.06,0.11,0.06,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,61.06,3072020,0,5272021,31.18,3072020,0,0,NA,0,NA,0,"T",61.06,55.36,726.5,31.18,28.57,329.7,92.24,83.93,1056.2,1232.37,1,0,1,"YES","NORMAL","C $1000+","RESIDENTIAL","10600 PEERLESS ST"
"240","10900","PEERLESS ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.03,0.11,0.03,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,35.56,4082021,0,5272021,25.97,4082021,0,0,NA,0,NA,0,"O",35.56,83.39,803.25,25.97,36.4,363.38,61.53,119.79,1166.63,1347.95,1,0,1,"YES","NORMAL","C $1000+","RESIDENTIAL","10900 PEERLESS ST"
"241","11000","PEERLESS ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.06,0.12,0.06,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,26.83,5032021,0,5272021,15.53,5032021,0,0,NA,0,NA,0,"R",26.83,30.05,1052.57,15.53,16.75,404.57,42.36,46.8,1457.14,1546.3,1,0,1,"YES","NORMAL","C $1000+","RESIDENTIAL","11000 PEERLESS ST"
"242","19900","MOROSS RD","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.04,0.1,0.04,0,"RESIDENTIAL","RESIDENTIAL",83,83,NA,5192021,53.85,5042021,0,5192021,20.75,5042021,0,0,NA,0,NA,0,"O",53.85,0,82.57,20.75,0,32.78,74.6,0,115.35,189.95,0,1,1,"YES","NORMAL","Other","RESIDENTIAL","19900 MOROSS RD"
"243","11200","MCKINNEY ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0,0.11,0.05,0,"RESIDENTIAL","RESIDENTIAL",83,83,NA,5192021,52.19,5122021,0,5192021,28.57,5122021,0,0,NA,0,NA,0,"O",52.19,57.89,284.02,28.57,31.18,156.75,80.76,89.07,440.77,610.6,1,0,1,"YES","NORMAL","A $150-$500","RESIDENTIAL","11200 MCKINNEY ST"
"244","11300","MCKINNEY ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.06,0.11,0.06,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,51.83,4162021,0,5272021,15.53,4162021,0,0,NA,0,NA,0,"O",51.83,38.24,51.17,16.29,20.75,5.48,68.12,58.99,56.65,183.76,0,1,1,"YES","NORMAL","Other","RESIDENTIAL","11300 MCKINNEY ST"
"245","10700","WORDEN ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.05,0.11,0.05,0,"RESIDENTIAL","RESIDENTIAL",83,83,NA,5192021,75.66,5102021,0,5192021,28.57,5102021,0,0,NA,0,NA,0,"O",75.66,0,178.41,28.57,0,67.4,104.23,0,245.81,350.04,1,0,1,"YES","NORMAL","A $150-$500","RESIDENTIAL","10700 WORDEN ST"
"246","5700","GUILFORD ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.06,0.13,0.06,0,"RESIDENTIAL","RESIDENTIAL",83,83,NA,5192021,57.53,5062021,0,5192021,18.14,5062021,0,0,NA,0,NA,0,"O",57.53,68.95,1708.73,18.14,23.36,652.85,75.67,92.31,2361.58,2529.56,1,0,1,"YES","NORMAL","C $1000+","RESIDENTIAL","5700 GUILFORD ST"
"247","4700","HEREFORD ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.04,0.18,0.04,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,17.44,5012021,0,5272021,15.53,5012021,0,0,NA,0,NA,0,"O",17.44,0,480.34,15.53,0,200.86,32.97,0,681.2,714.17,1,0,1,"YES","NORMAL","B $500-$1000","RESIDENTIAL","4700 HEREFORD ST"
"248","4300","WOODHALL ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.06,0.15,0.06,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,21.12,5102021,0,5272021,12.93,5102021,0,0,NA,0,NA,0,"O",21.12,0,230.35,12.93,0,53.91,34.05,0,284.26,318.31,1,0,1,"YES","NORMAL","A $150-$500","RESIDENTIAL","4300 WOODHALL ST"
"249","5300","HEREFORD ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.07,0.19,0.07,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,45.11,1292021,0,5272021,10.32,1292021,0,0,NA,0,NA,0,"O",45.11,53.07,2383.39,10.32,13.45,847.05,55.43,66.52,3230.44,3352.39,1,0,1,"YES","NORMAL","C $1000+","RESIDENTIAL","5300 HEREFORD ST"
"250","10100","CADIEUX RD","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.04,0.09,0.04,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,34.56,5052021,0,5272021,23.36,5052021,0,0,NA,0,NA,0,"T",34.56,0,175.18,23.36,0,221.47,57.92,0,396.65,454.57,1,0,1,"YES","NORMAL","A $150-$500","RESIDENTIAL","10100 CADIEUX RD"
"251","6100","BLUEHILL ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.05,0.09,0.05,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,39.25,2032021,0,5272021,23.36,2032021,0,0,NA,0,NA,0,"O",39.25,56.36,836.42,23.36,31.18,294.44,62.61,87.54,1130.86,1281.01,1,0,1,"YES","NORMAL","C $1000+","RESIDENTIAL","6100 BLUEHILL ST"
"252","11400","SOMERSET AVE","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.04,0.11,0.04,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,51.67,2172021,0,5272021,31.18,2172021,0,0,NA,0,NA,0,"O",51.67,63.09,623.38,31.18,36.4,286.76,82.85,99.49,910.14,1092.48,1,0,1,"YES","NORMAL","B $500-$1000","RESIDENTIAL","11400 SOMERSET AVE"
"253","11500","SOMERSET AVE","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.05,0.11,0.05,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,39.25,5232021,0,5272021,23.36,5232021,0,0,NA,0,NA,0,"O",39.25,0,747.28,23.36,0,275.25,62.61,0,1022.53,1085.14,1,0,1,"YES","NORMAL","C $1000+","RESIDENTIAL","11500 SOMERSET AVE"
"254","11600","SOMERSET AVE","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.05,0.12,0.05,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,109.89,2282020,0,5272021,44.22,2282020,0,0,NA,0,NA,0,"O",109.89,67.78,1785.79,44.22,36.4,817.97,154.11,104.18,2603.76,2862.05,1,0,1,"YES","NORMAL","C $1000+","RESIDENTIAL","11600 SOMERSET AVE"
"255","11300","BALFOUR RD","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.05,0.11,0.05,0,"RESIDENTIAL","RESIDENTIAL",82,82,NA,5192021,577.79,5282021,0,5192021,258.08,5282021,0,0,NA,0,NA,0,"O",300.69,532.14,2460.18,134.31,237.21,1092.27,435,769.35,3552.45,4756.8,1,0,1,"YES","NORMAL","C $1000+","RESIDENTIAL","11300 BALFOUR RD"
"256","11400","BALFOUR RD","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.05,0.11,0.05,0,"RESIDENTIAL","RESIDENTIAL",82,82,NA,5192021,92.78,5252021,0,5192021,36.4,5252021,0,0,NA,0,NA,0,"O",0,0,77.56,0,0,27.09,0,0,104.65,104.65,0,1,1,"YES","NORMAL","Other","RESIDENTIAL","11400 BALFOUR RD"
"257","19700","MCCORMICK ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.04,0.11,0.04,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,85.91,5272021,0,5272021,46.83,5272021,0,0,NA,0,NA,0,"O",67.59,0,21.62,36.84,0,6.69,104.43,0,28.31,132.74,0,1,1,"YES","NORMAL","Other","RESIDENTIAL","19700 MCCORMICK ST"
"258","11500","NOTTINGHAM RD","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.06,0.12,0.06,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,21.12,5242021,0,5272021,12.93,5242021,0,0,NA,0,NA,0,"O",21.12,0,1718.75,12.93,0,655.12,34.05,0,2373.87,2407.92,1,0,1,"YES","NORMAL","C $1000+","RESIDENTIAL","11500 NOTTINGHAM RD"
"259","11700","NOTTINGHAM RD","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.06,0.15,0.06,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,32.53,5192021,0,5272021,18.14,5192021,0,0,NA,0,NA,0,"O",32.53,0,95.6,18.14,0,22.25,50.67,0,117.85,168.52,0,1,1,"YES","NORMAL","Other","RESIDENTIAL","11700 NOTTINGHAM RD"
"260","11200","SOMERSET AVE","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.06,0.1,0.06,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,74.65,4122021,0,5272021,25.97,4122021,0,0,NA,0,NA,0,"O",74.65,86.06,235.15,25.97,31.18,83.64,100.62,117.24,318.79,536.65,1,0,1,"YES","NORMAL","A $150-$500","RESIDENTIAL","11200 SOMERSET AVE"
"261","19600","KINGSVILLE ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.03,0.1,0.03,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,60.56,5022021,0,5272021,25.97,0,0,0,NA,0,NA,0,"O",60.56,60.56,266.29,25.97,25.97,315.06,86.53,86.53,581.35,754.41,1,0,1,"YES","NORMAL","B $500-$1000","RESIDENTIAL","19600 KINGSVILLE ST"
"262","19700","KINGSVILLE ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.05,0.1,0.05,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5192021,81.36,0,0,5192021,31.18,0,0,0,NA,0,NA,0,"O",81.36,81.36,374.53,31.18,31.18,94.09,112.54,112.54,468.62,693.7,1,0,1,"YES","NORMAL","A $150-$500","RESIDENTIAL","19700 KINGSVILLE ST"
"263","19900","MCCORMICK ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.05,0.1,0.05,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,181.9,3152021,0,5272021,88.56,3152021,0,0,NA,0,NA,0,"O",181.9,107.72,515.04,88.56,54.65,196.21,270.46,162.37,711.25,1144.08,1,0,1,"YES","NORMAL","B $500-$1000","RESIDENTIAL","19900 MCCORMICK ST"
"264","20400","MCCORMICK ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.04,0.1,0.04,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,51.67,5232021,0,5272021,31.18,5232021,0,0,NA,0,NA,0,"O",51.67,0,355.23,31.18,0,132.3,82.85,0,487.53,570.38,1,0,1,"YES","NORMAL","A $150-$500","RESIDENTIAL","20400 MCCORMICK ST"
"265","19100","MCCORMICK ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.04,0.1,0.04,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,34.56,9112020,0,5272021,23.36,9112020,0,0,NA,0,NA,0,"O",34.56,23.14,641.66,23.36,18.14,279.74,57.92,41.28,921.4,1020.6,1,0,1,"YES","NORMAL","B $500-$1000","RESIDENTIAL","19100 MCCORMICK ST"
"266","18500","KINGSVILLE ST","CITY RESIDENTIAL","RESIDENTIAL","Inactive",0,"NORMAL",0.05,0.1,0.05,0,"RESIDENTIAL","RESIDENTIAL",82,82,NA,5192021,0,5292021,2252021,5192021,0,5292021,2252021,2,NA,0,NA,0,"O",0,0,322.62,0,0,68.91,0,0,391.53,391.53,1,0,1,"NO","NORMAL","A $150-$500","RESIDENTIAL","18500 KINGSVILLE ST"
"267","19100","KINGSVILLE ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.04,0.11,0.04,0,"RESIDENTIAL","RESIDENTIAL",82,82,NA,5192021,53.85,5042021,0,5192021,20.75,5042021,0,0,NA,0,NA,0,"O",53.85,0,81.38,20.75,0,35.95,74.6,0,117.33,191.93,0,1,1,"YES","NORMAL","Other","RESIDENTIAL","19100 KINGSVILLE ST"
"268","11700","BEACONSFIELD ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.04,0.1,0.04,0,"RESIDENTIAL","RESIDENTIAL",82,82,NA,5192021,70.97,5222021,0,5192021,28.57,5222021,0,0,NA,0,NA,0,"O",0,0,266.59,0,0,108.74,0,0,375.33,375.33,1,0,1,"YES","NORMAL","A $150-$500","RESIDENTIAL","11700 BEACONSFIELD ST"
"269","19100","BEACONSFIELD ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.04,0.12,0.04,0,"RESIDENTIAL","RESIDENTIAL",82,82,NA,5192021,59.56,5052021,0,5192021,23.36,5052021,0,0,NA,0,NA,0,"O",59.56,0,563.96,23.36,0,205.71,82.92,0,769.67,852.59,1,0,1,"YES","NORMAL","B $500-$1000","RESIDENTIAL","19100 BEACONSFIELD ST"
"270","19300","MCCORMICK ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.04,0.11,0.04,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,11.73,5082021,0,5272021,12.93,5082021,0,0,NA,0,NA,0,"O",11.73,0,981.1,12.93,0,651.57,24.66,0,1632.67,1657.33,1,0,1,"YES","NORMAL","C $1000+","RESIDENTIAL","19300 MCCORMICK ST"
"271","11800","ROSSITER ST","CITY RESIDENTIAL","RESIDENTIAL","Inactive",0,"NORMAL",0.02,0.11,0.02,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,0,9212020,3042021,5272021,0,9212020,3042021,2,NA,0,NA,0,"O",0,0,433.85,0,0,39.97,0,0,473.82,473.82,1,0,1,"NO","NORMAL","A $150-$500","RESIDENTIAL","11800 ROSSITER ST"
"272","11600","LAKEPOINTE ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.06,0.11,0.06,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,21.12,5172021,0,5272021,12.93,5172021,0,0,NA,0,NA,0,"O",21.12,0,198.26,12.93,0,46.33,34.05,0,244.59,278.64,1,0,1,"YES","NORMAL","A $150-$500","RESIDENTIAL","11600 LAKEPOINTE ST"
"273","11900","LAKEPOINTE ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.07,0.13,0.07,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,48.64,5162021,0,5272021,23.36,5162021,0,0,NA,0,NA,0,"O",48.64,0,194.53,23.36,0,14.14,72,0,208.67,280.67,1,0,1,"YES","NORMAL","A $150-$500","RESIDENTIAL","11900 LAKEPOINTE ST"
"274","11800","ROXBURY ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.05,0.13,0.05,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,22.13,4302021,0,5272021,19.38,4302021,0,0,NA,0,NA,0,"O",22.13,27.83,443.85,19.38,21.99,197.56,41.51,49.82,641.41,732.74,1,0,1,"YES","NORMAL","B $500-$1000","RESIDENTIAL","11800 ROXBURY ST"
"275","12200","WAYBURN ST","CITY RESIDENTIAL","RESIDENTIAL","Inactive",0,"NORMAL",0.05,0.12,0.05,0,"RESIDENTIAL","RESIDENTIAL",82,82,NA,5192021,0,4052021,0,5192021,0,4052021,0,90,NA,0,NA,0,"O",0,695.18,0,0,463.45,0,0,1158.63,0,1158.63,0,0,1,"NO","NORMAL","Other","RESIDENTIAL","12200 WAYBURN ST"
"276","12000","ROSSITER ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.05,0.12,0.05,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,79.19,5142021,0,5272021,41.61,5142021,0,0,NA,0,NA,0,"O",79.19,0,281.93,41.61,0,107.08,120.8,0,389.01,509.81,1,0,1,"YES","NORMAL","A $150-$500","RESIDENTIAL","12000 ROSSITER ST"
"277","19000","MOROSS RD","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.03,0.06,0.03,0,"RESIDENTIAL","RESIDENTIAL",82,82,NA,5192021,20.62,4302021,0,5192021,7.71,4302021,0,0,NA,0,NA,0,"O",20.62,20.62,106.11,7.71,7.71,39.67,28.33,28.33,145.78,202.44,0,1,1,"YES","NORMAL","Other","RESIDENTIAL","19000 MOROSS RD"
"278","12100","LANSDOWNE ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.04,0.11,0.04,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,51.67,0,0,5272021,31.18,0,0,0,NA,0,NA,0,"O",51.67,63.09,322.58,31.18,36.4,140.24,82.85,99.49,462.82,645.16,1,0,1,"YES","NORMAL","A $150-$500","RESIDENTIAL","12100 LANSDOWNE ST"
"279","12200","LANSDOWNE ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.05,0.11,0.05,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,16.42,0,0,5272021,12.93,0,0,0,NA,0,NA,0,"O",16.42,52.83,242.14,12.93,18.14,63.55,29.35,70.97,305.69,406.01,1,0,1,"YES","NORMAL","A $150-$500","RESIDENTIAL","12200 LANSDOWNE ST"
"280","12300","LANSDOWNE ST","CITY RESIDENTIAL","RESIDENTIAL","Inactive",0,"NORMAL",0.05,0.12,0.05,0,"RESIDENTIAL","RESIDENTIAL",82,82,NA,5192021,0,5122021,10062020,5192021,0,5122021,10062020,90,NA,0,NA,0,"O",0,0,1256.69,0,0,389.2,0,0,1645.89,1645.89,1,0,1,"NO","NORMAL","C $1000+","RESIDENTIAL","12300 LANSDOWNE ST"
"281","12600","DUCHESS ST","CITY RESIDENTIAL","RESIDENTIAL","Inactive",0,"NORMAL",0.05,0.11,0.05,0,"RESIDENTIAL","RESIDENTIAL",82,82,NA,5192021,0,9192020,11022020,5192021,0,9192020,11022020,2,NA,0,NA,0,"O",0,0,327.11,0,0,23.84,0,0,350.95,350.95,1,0,1,"NO","NORMAL","A $150-$500","RESIDENTIAL","12600 DUCHESS ST"
"282","12700","DUCHESS ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.05,0.11,0.05,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,44.95,5202021,0,5272021,25.97,5202021,0,0,NA,0,NA,0,"O",44.95,0,1300.49,25.97,0,772.04,70.92,0,2072.53,2143.45,1,0,1,"YES","NORMAL","C $1000+","RESIDENTIAL","12700 DUCHESS ST"
"283","12200","LAING ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.06,0.11,0.06,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,38.24,2042021,0,5272021,20.75,2042021,0,0,NA,0,NA,0,"R",38.24,57.53,624.4,20.75,18.14,199.5,58.99,75.67,823.9,958.56,1,0,1,"YES","NORMAL","B $500-$1000","RESIDENTIAL","12200 LAING ST"
"284","12400","LAING ST","CITY RESIDENTIAL","RESIDENTIAL","Inactive",0,"NORMAL",0.05,0.11,0.05,0,"RESIDENTIAL","RESIDENTIAL",82,82,NA,5192021,0,5142021,0,5192021,0,5142021,0,90,NA,0,NA,0,"O",0,0,2828.16,486,0,732.11,486,0,3560.27,4046.27,1,0,1,"NO","NORMAL","C $1000+","RESIDENTIAL","12400 LAING ST"
"285","12500","LAING ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.04,0.11,0.04,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,23.14,10092020,0,5272021,18.14,10092020,0,0,NA,0,NA,0,"O",23.14,17.44,328.14,18.14,15.53,116.9,41.28,32.97,445.04,519.29,1,0,1,"YES","NORMAL","A $150-$500","RESIDENTIAL","12500 LAING ST"
"286","12300","WHITEHILL ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.05,0.11,0.05,0,"RESIDENTIAL","RESIDENTIAL",82,82,NA,5192021,23.47,5242021,0,5192021,0,0,0,0,NA,0,NA,0,"O",23.47,23.47,663.1,0,0,40,23.47,23.47,703.1,750.04,1,0,1,"YES","NORMAL","B $500-$1000","RESIDENTIAL","12300 WHITEHILL ST"
"287","18600","MOROSS RD","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.02,0.08,0.02,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,8.05,5172021,0,5272021,19.38,5172021,0,0,NA,0,NA,0,"O",8.05,0,27.62,19.38,0,14.24,27.43,0,41.86,69.29,0,1,1,"YES","NORMAL","Other","RESIDENTIAL","18600 MOROSS RD"
"288","12400","RIAD ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.06,0.11,0.06,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,32.53,5042021,0,5272021,18.14,5042021,0,0,NA,0,NA,0,"O",32.53,0,190.1,18.14,0,54.49,50.67,0,244.59,295.26,1,0,1,"YES","NORMAL","A $150-$500","RESIDENTIAL","12400 RIAD ST"
"289","12500","RIAD ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.05,0.11,0.05,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,10.72,5182021,0,5272021,10.32,5182021,0,0,NA,0,NA,0,"O",10.72,0,136.18,10.32,0,55.56,21.04,0,191.74,212.78,1,0,1,"YES","NORMAL","A $150-$500","RESIDENTIAL","12500 RIAD ST"
"290","12600","RIAD ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.06,0.11,0.06,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,43.95,9292020,0,5272021,23.36,9292020,0,0,NA,0,NA,0,"O",43.95,32.53,355.93,23.36,18.14,93.53,67.31,50.67,449.46,567.44,1,0,1,"YES","NORMAL","A $150-$500","RESIDENTIAL","12600 RIAD ST"
"291","12800","RIAD ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.06,0.11,0.06,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,86.06,11182020,0,5272021,31.18,11182020,0,0,NA,0,NA,0,"O",86.06,86.06,1272.58,31.18,31.18,535.78,117.24,117.24,1808.36,2042.84,1,0,1,"YES","NORMAL","C $1000+","RESIDENTIAL","12800 RIAD ST"
"292","12300","PAYTON ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.05,0.11,0.05,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,16.42,3192021,0,5272021,12.93,3192021,0,0,NA,0,NA,0,"O",16.42,22.13,193.45,12.93,15.53,47.6,29.35,37.66,241.05,308.06,1,0,1,"YES","NORMAL","A $150-$500","RESIDENTIAL","12300 PAYTON ST"
"293","12800","PAYTON ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.04,0.1,0.04,0,"RESIDENTIAL","RESIDENTIAL",82,82,NA,5192021,18.78,5042021,0,5192021,0,5042021,0,0,NA,0,NA,0,"O",18.78,0,537.95,0,0,386.22,18.78,0,924.17,942.95,1,0,1,"NO","NORMAL","B $500-$1000","RESIDENTIAL","12800 PAYTON ST"
"294","12900","PAYTON ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.05,0.11,0.05,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,75.66,9212020,0,5272021,28.57,9212020,0,0,NA,0,NA,0,"O",75.66,75.66,659.52,28.57,28.57,350.59,104.23,104.23,1010.11,1218.57,1,0,1,"YES","NORMAL","C $1000+","RESIDENTIAL","12900 PAYTON ST"
"295","12200","RIAD ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.06,0.11,0.06,0,"RESIDENTIAL","RESIDENTIAL",82,82,NA,5192021,194.48,5092021,0,5192021,80.73,5092021,0,0,NA,0,NA,0,"O",194.48,0,1069.02,80.73,0,444.58,275.21,0,1513.6,1788.81,1,0,1,"YES","NORMAL","C $1000+","RESIDENTIAL","12200 RIAD ST"
"296","12300","RIAD ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.03,0.1,0.03,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,12.74,5132021,0,5272021,15.53,5132021,0,0,NA,0,NA,0,"O",12.74,0,130.44,15.53,0,63.93,28.27,0,194.37,222.64,1,0,1,"YES","NORMAL","A $150-$500","RESIDENTIAL","12300 RIAD ST"
"297","11700","WHITEHILL ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.06,0.1,0.06,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,26.83,4302021,0,5272021,15.53,4302021,0,0,NA,0,NA,0,"O",26.83,0,137.93,15.53,0,8.83,42.36,0,146.76,189.12,0,1,1,"YES","NORMAL","Other","RESIDENTIAL","11700 WHITEHILL ST"
"298","11900","WHITEHILL ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.05,0.11,0.05,0,"RESIDENTIAL","RESIDENTIAL",82,82,NA,5192021,52.83,5022021,0,5192021,18.14,5022021,0,0,NA,0,NA,0,"O",52.83,0,177.95,18.14,0,68.57,70.97,0,246.52,317.49,1,0,1,"YES","NORMAL","A $150-$500","RESIDENTIAL","11900 WHITEHILL ST"
"299","11800","LAING ST","CITY RESIDENTIAL","RESIDENTIAL","Active",0,"NORMAL",0.04,0.1,0.04,0,"RESIDENTIAL","RESIDENTIAL",1003,1003,NA,5272021,93.79,1062020,0,5272021,39.01,1062020,0,0,NA,0,NA,0,"O",93.79,59.56,534.05,39.01,23.36,225.65,132.8,82.92,759.7,975.42,1,0,1,"YES","NORMAL","B $500-$1000","RESIDENTIAL","11800 LAING ST"
